iteration,buffer_size,white_wins,black_wins,draws,loss,policy_loss,value_loss
18,34323,7,11,2,1.697300922870636,1.5269338274002076,0.17036709666252137
19,35547,10,8,2,1.6931044042110444,1.520937625169754,0.17216677829623223
20,36769,8,11,1,1.6975094962120056,1.5222831237316132,0.1752263678610325
21,37995,7,12,1,1.7031849682331086,1.5248549890518188,0.17832996912300586
22,39221,12,8,0,1.7008458518981933,1.522315970659256,0.17852988615632057
23,40449,9,10,1,1.7136288607120513,1.532234308719635,0.18139455296099186
24,41675,13,7,0,1.7167455351352692,1.5302607643604278,0.18648477353155613
25,42899,4,10,6,1.7165978145599365,1.5372333109378815,0.17936450034379958
26,44126,14,6,0,1.7145640242099762,1.5301338338851929,0.18443018779158593
27,45351,8,9,3,1.7203399515151978,1.5326740002632142,0.18766594886779786
28,46574,9,7,4,1.7308386707305907,1.541683613061905,0.1891550600528717
29,47796,8,10,2,1.715439521074295,1.5282066714763642,0.18723284460604192
30,49021,9,10,1,1.7193963646888732,1.5326610398292542,0.1867353193461895
31,50243,8,10,2,1.7212138319015502,1.5320211589336394,0.18919267684221266
32,51470,7,11,2,1.7261633110046386,1.5373717403411866,0.18879157364368437
33,52696,11,9,0,1.747484828233719,1.541587780714035,0.20589705005288125
35,54532,12,8,0,1.7748999536037444,1.5634655094146728,0.21143444523215293
36,55755,11,7,2,1.7466407525539398,1.551976616382599,0.1946641370654106
37,56979,6,12,2,1.7385317361354828,1.547305098772049,0.19122664093971253
38,58204,6,14,0,1.7388411927223206,1.5464706027507782,0.19237059131264686
39,59429,9,10,1,1.7572122371196748,1.5566724503040315,0.20053978621959687
41,61817,10,9,1,1.792073677778244,1.5754648065567016,0.2166088630259037
42,63045,6,13,1,1.7736816275119782,1.5657488024234771,0.2079328230023384
43,64274,11,7,2,1.7699814176559447,1.570295603275299,0.1996858163177967
44,65499,9,9,2,1.7680643427371978,1.5687740385532378,0.19929030641913414
45,66727,13,7,0,1.7656652116775513,1.5648829019069672,0.20078231409192085
46,67955,6,11,3,1.7753917515277862,1.5662037253379821,0.20918802455067634
47,69180,7,12,1,1.7932125914096833,1.5777297294139863,0.2154828603565693
48,70404,7,9,4,1.779926573038101,1.5710973954200744,0.2088291724026203
49,71628,7,11,2,1.7818573355674743,1.5711360442638398,0.21072128877043725
50,72854,8,8,4,1.7929721570014954,1.5779499661922456,0.2150221872329712
51,74074,10,10,0,1.7990672028064727,1.5750369834899902,0.2240302312374115
52,75300,9,8,3,1.7958983778953552,1.580732789039612,0.21516558185219764
53,76527,8,11,1,1.7961446595191957,1.5809164595603944,0.21522819817066194
54,77746,8,10,2,1.7957999086380005,1.5824747323989867,0.2133251802623272
55,78968,8,11,1,1.806110234260559,1.5859738552570344,0.22013636931777
56,80195,10,9,1,1.8255724465847016,1.601933903694153,0.2236385378241539
57,81421,7,13,0,1.820783863067627,1.602483047246933,0.21830081388354303
58,82642,12,5,3,1.8157814311981202,1.596551580429077,0.2192298449575901
60,84361,10,8,2,1.853031575679779,1.613622316122055,0.23940926194190978
61,85588,7,12,1,1.8396516788005828,1.6088918232917786,0.23075985044240951
62,86813,8,12,0,1.8387508690357208,1.6052847445011138,0.2334661129117012
64,88348,7,12,1,1.8662644684314729,1.6201467883586884,0.24611767917871474
65,89570,9,10,1,1.854433799982071,1.616611862182617,0.2378219410777092
67,91404,7,10,3,1.8762596607208253,1.6285707592964171,0.24768890410661698
68,92632,11,7,2,1.8592616903781891,1.6250387704372407,0.23422291979193688
70,93855,7,10,3,1.8801811778545379,1.63398193359375,0.24619924306869506
71,95078,6,13,1,1.8630229544639587,1.6259245014190673,0.23709844738245012
72,96301,8,9,3,1.8630420768260956,1.6249525213241578,0.23808955296874046
73,97526,10,9,1,1.867138705253601,1.6276917099952697,0.23944700181484221
74,98752,7,10,3,1.8576301908493043,1.6238078808784484,0.23382231295108796
75,99976,8,11,1,1.8692127168178558,1.6295787465572358,0.23963397160172462
76,101198,12,7,1,1.8600645685195922,1.6269784820079805,0.23308608040213585
77,102424,6,13,1,1.8715092539787292,1.630428146123886,0.24108110889792442
78,103651,9,10,1,1.8770852780342102,1.6344970965385437,0.24258818224072456
79,104876,5,12,3,1.8759303426742553,1.6410749328136445,0.23485540688037873
80,106103,6,9,5,1.8881438863277435,1.6412376642227173,0.2469062277674675
81,107324,10,8,2,1.8663861978054046,1.6326444566249847,0.23374173760414124
82,108549,10,9,1,1.8858000028133393,1.6405658519268036,0.24523414999246598
84,110261,10,10,0,1.9062384176254272,1.6469663190841675,0.2592720866203308
85,111486,9,10,1,1.8950967180728913,1.6432680356502534,0.25182868137955666
86,112712,9,9,2,1.8983231222629546,1.6522390604019166,0.24608405753970147
87,113942,8,11,1,1.9020783221721649,1.6454068195819855,0.25667150676250455
88,115168,8,11,1,1.9003462731838225,1.6476730847358703,0.2526731838285923
89,116397,6,12,2,1.9004100787639617,1.648911131620407,0.2514989434182644
90,117621,7,8,5,1.9097237861156464,1.654355902671814,0.2553678853809834
91,118849,11,8,1,1.8981976890563965,1.645321340560913,0.25287634775042533
92,120080,10,9,1,1.9055929827690123,1.6435543739795684,0.2620386137068272
93,121307,10,8,2,1.9084714126586915,1.655477306842804,0.25299410209059714
94,122535,11,7,2,1.9146417832374574,1.6538936865329743,0.260748094022274
95,123760,7,11,2,1.9142590594291686,1.6577847957611085,0.2564742670953274
96,124985,12,5,3,1.9168210530281067,1.6586494970321655,0.2581715467572212
97,126210,11,8,1,1.9165376043319702,1.6562589335441589,0.2602786721289158
98,127434,6,11,3,1.9276801371574401,1.6592518234252929,0.2684283103048801
99,128661,10,10,0,1.9207361435890198,1.655881017446518,0.26485512524843213
100,129885,8,11,1,1.9262631058692932,1.660911546945572,0.26535156011581423
101,131109,8,8,4,1.9346949315071107,1.66587118268013,0.26882374718785285
102,132334,10,8,2,1.9395161962509155,1.6696417951583862,0.26987440407276153
103,133563,10,10,0,1.9324216067790985,1.6690850782394409,0.2633365316689014
104,134788,8,10,2,1.9392668473720551,1.6747649800777435,0.2645018690824509
105,136018,12,6,2,1.9329778683185577,1.666718463897705,0.26625940203666687
106,137249,8,10,2,1.9285592818260193,1.6670105743408203,0.26154870584607126
107,138476,8,10,2,1.9385939812660218,1.6599652445316315,0.2786287413537502
108,139696,7,13,0,1.946901787519455,1.6703225457668305,0.2765792463719845
109,140924,9,9,2,1.943104784488678,1.6705819249153138,0.2725228644907475
110,142150,10,8,2,1.958595770597458,1.6816285836696625,0.2769671930372715
111,143376,8,12,0,1.944492094516754,1.67513334274292,0.26935875341296195
112,144604,6,10,4,1.9589095044136047,1.6844296729564667,0.27447982102632523
113,145826,8,10,2,1.963605899810791,1.687281140089035,0.27632476210594176
114,147049,9,10,1,1.9605629551410675,1.6797916722297668,0.2807712931931019
115,148275,8,12,0,1.9611787259578706,1.6893767380714417,0.2718019840121269
116,149505,7,12,1,1.9556415641307832,1.6829141294956207,0.27272742822766305
117,150732,10,8,2,1.9732814848423004,1.6870705807209014,0.28621090650558473
118,151956,10,10,0,1.9780391693115233,1.6937336230278015,0.2843055462837219
119,153182,6,11,3,1.971244843006134,1.6863886260986327,0.28485620841383935
120,154405,8,12,0,1.9586344492435455,1.6801277577877045,0.2785066908597946
121,155633,9,9,2,1.9739295518398285,1.6945703065395354,0.27935925260186195
122,156857,7,11,2,1.9754803240299226,1.69391188621521,0.28156843066215514
123,158082,9,7,4,1.981329575777054,1.6937182068824768,0.2876113665103912
124,159310,10,9,1,1.9807410657405853,1.696211177110672,0.28452988639473914
125,160531,10,9,1,1.977034432888031,1.690492058992386,0.2865423725545406
126,161758,6,11,3,1.994520664215088,1.7029510521888733,0.2915696130692959
127,162984,8,10,2,1.9792763125896453,1.6917716121673585,0.2875047115981579
128,164207,4,12,4,1.9874305045604705,1.6881678521633148,0.29926264733076097
129,165431,3,16,1,1.9780404579639435,1.6922151613235474,0.285825292468071
130,166656,6,13,1,1.9918870544433593,1.7077750325202943,0.2841120167076588
131,167883,9,9,2,1.980283603668213,1.696471598148346,0.28381200432777404
132,169115,12,7,1,1.9902505493164062,1.698755841255188,0.2914947119355202
133,170339,9,11,0,1.9965908229351044,1.7019687962532044,0.29462202176451685
134,171564,7,10,3,1.9996489119529723,1.6994456851482391,0.30020322248339654
135,172790,10,10,0,1.9984862387180329,1.7012320208549498,0.29725421488285064
136,174012,5,12,3,1.9979183781147003,1.7057881760597229,0.2921302102506161
137,175234,9,10,1,2.0043620824813844,1.7111923837661742,0.2931697008013725
138,176463,6,12,2,2.005091301202774,1.7112825882434846,0.2938087132573128
140,177752,9,9,2,2.027797193527222,1.7166432666778564,0.3111539340019226
141,178977,10,9,1,2.0265091848373413,1.7200107097625732,0.30649847388267515
142,180204,14,5,1,2.029556188583374,1.7205974769592285,0.30895870983600615
143,181433,7,11,2,2.0244266200065613,1.7188980603218078,0.3055285719037056
144,182661,11,9,0,2.0177027976512907,1.7123278069496155,0.30537500023841857
145,183888,10,8,2,2.0258879613876344,1.720468192100525,0.3054197719693184
146,185110,9,10,1,2.0273492801189423,1.715561043024063,0.31178823351860047
147,186335,8,11,1,2.015105874538422,1.7108637261390687,0.30424214616417883
148,187560,10,9,1,2.0195772457122803,1.714458326101303,0.30511892318725586
149,188787,8,11,1,2.033472285270691,1.7240382087230683,0.30943408772349357
150,190014,10,10,0,2.0242462301254274,1.7147380232810974,0.3095082150399685
151,191241,11,7,2,2.0223931884765625,1.7124056112766266,0.30998757272958755
152,192467,9,11,0,2.0324087023735045,1.7197832036018372,0.3126254963874817
153,193687,9,9,2,2.0309597873687744,1.718884437084198,0.31207534864544867
155,195468,11,7,2,2.0575948750972746,1.72901691198349,0.3285779570043087
156,196691,9,6,5,2.0504617393016815,1.7265665864944457,0.32389516323804857
157,197918,9,11,0,2.047441624403,1.7283074831962586,0.3191341432929039
158,199145,8,11,1,2.0444563150405886,1.722520453929901,0.3219358637928963
159,200374,6,11,3,2.0449547135829924,1.728607646226883,0.316347071826458
160,201599,9,9,2,2.0495559883117678,1.7258996295928954,0.3236563540995121
161,202823,5,10,5,2.048167674541473,1.7271298944950104,0.3210377797484398
162,204053,8,12,0,2.047116906642914,1.7266464185714723,0.3204704877734184
163,205280,4,14,2,2.0505608427524566,1.7320680594444275,0.3184927861392498
164,206505,9,10,1,2.056997277736664,1.7292911684513093,0.32770610570907593
165,207730,6,13,1,2.053572310209274,1.733816809654236,0.31975550204515457
166,208955,11,7,2,2.0497306072711945,1.7246839547157287,0.32504666268825533
167,210180,11,8,1,2.045899074077606,1.7280278277397156,0.3178712473809719
168,211404,8,10,2,2.0648613679409027,1.7406697809696197,0.32419158533215525
169,212628,7,9,4,2.049059818983078,1.730350328683853,0.3187094965577126
171,214839,11,6,3,2.074563829898834,1.7399882447719575,0.3345755785703659
172,216070,15,3,2,2.0773175621032713,1.7434937763214111,0.3338237926363945
173,217300,10,5,5,2.0726806282997132,1.7319681859016418,0.3407124428451061
174,218530,8,11,1,2.074741997718811,1.738158106803894,0.3365838924050331
175,219759,9,9,2,2.062095180749893,1.7351614689826966,0.3269337214529514
176,220983,8,12,0,2.073608959913254,1.737969102859497,0.3356398597359657
177,222212,12,7,1,2.0663795709609984,1.7309372699260712,0.3354423007369041
178,223444,9,11,0,2.0744276630878447,1.7413696551322937,0.33305800199508667
180,225835,10,9,1,2.094944562911987,1.7477114379405976,0.34723311588168143
181,227058,6,11,3,2.092360392808914,1.7404391288757324,0.35192126482725145
182,228281,8,11,1,2.07639466881752,1.7388308584690093,0.33756380185484886
183,229510,11,8,1,2.086687777042389,1.7450139904022217,0.34167378425598144
184,230738,10,9,1,2.0813590240478517,1.7437204575538636,0.3376385636627674
185,231968,14,6,0,2.0822767651081087,1.745718730688095,0.3365580320358276
186,233191,6,13,1,2.084833434820175,1.741636679172516,0.3431967595219612
187,234421,12,8,0,2.0830020511150362,1.7423284244537354,0.34067361533641816
188,235649,7,10,3,2.0893962728977202,1.7492484486103057,0.34014782518148423
189,236870,7,12,1,2.091931071281433,1.7481220316886903,0.34380903795361517
190,238095,6,13,1,2.0915680110454558,1.7495094263553619,0.342058572024107
191,239323,8,12,0,2.093458774089813,1.746608452796936,0.3468503111600876
192,240552,8,11,1,2.0836613368988037,1.7429897832870482,0.3406715512275696
193,241777,9,8,3,2.0961201190948486,1.7487320756912232,0.347388034760952
194,243002,10,8,2,2.0852160441875456,1.7449378728866578,0.3402781718969345
195,244229,8,12,0,2.0961474668979645,1.7511962735652924,0.3449512085318565
196,245454,6,12,2,2.092917330265045,1.7446193504333496,0.34829798102378845
197,246680,4,15,1,2.0869136595726014,1.7358230531215668,0.35109061256051066
198,247908,7,12,1,2.1041247940063474,1.754904626607895,0.34922015786170957
199,249133,7,10,3,2.088628387451172,1.7404622113704682,0.3481661750376224
200,250356,12,7,1,2.095291448831558,1.749152762889862,0.34613868206739423
